Kontener{masa=788, producent='COSCO', towar='Telefon'} Poziom: 0 Kolumna: 0 Pozycja: 0
Kontener{masa=307, producent='Maersk', towar='Rozpuszczalnik'} Poziom: 1 Kolumna: 4 Pozycja: 26
Kontener{masa=811, producent='Maersk', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 4 Pozycja: 27
Kontener{masa=693, producent='Swire', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 4 Pozycja: 28
Kontener{masa=1837, producent='Evergreen', towar='Banany'} Poziom: 1 Kolumna: 4 Pozycja: 29
Kontener{masa=913, producent='COSCO', towar='Telefon'} Poziom: 1 Kolumna: 5 Pozycja: 0
Kontener{masa=705, producent='Evergreen', towar='Komputer'} Poziom: 1 Kolumna: 5 Pozycja: 1
Kontener{masa=905, producent='Matson', towar='Komputer'} Poziom: 1 Kolumna: 5 Pozycja: 2
Kontener{masa=7, producent='Evergreen', towar='Sok wiśniowy'} Poziom: 1 Kolumna: 5 Pozycja: 3
Kontener{masa=132, producent='CMA CMG', towar='Procesor'} Poziom: 1 Kolumna: 5 Pozycja: 4
Kontener{masa=883, producent='Maersk', towar='Telefon'} Poziom: 1 Kolumna: 5 Pozycja: 5
Kontener{masa=896, producent='Maersk', towar='Telewizor'} Poziom: 1 Kolumna: 5 Pozycja: 6
Kontener{masa=997, producent='CMA CMG', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 5 Pozycja: 7
Kontener{masa=1710, producent='Swire', towar='Banany'} Poziom: 1 Kolumna: 5 Pozycja: 8
Kontener{masa=735, producent='Maersk', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 5 Pozycja: 9
Kontener{masa=8595, producent='COSCO', towar='Banany'} Poziom: 1 Kolumna: 5 Pozycja: 10
Kontener{masa=8594, producent='Matson', towar='Farba'} Poziom: 1 Kolumna: 5 Pozycja: 11
Kontener{masa=8592, producent='CMA CMG', towar='Farba'} Poziom: 1 Kolumna: 5 Pozycja: 12
Kontener{masa=8589, producent='Swire', towar='Banany'} Poziom: 1 Kolumna: 5 Pozycja: 13
Kontener{masa=8589, producent='Swire', towar='Banany'} Poziom: 1 Kolumna: 5 Pozycja: 14
Kontener{masa=8587, producent='Swire', towar='Ropa'} Poziom: 1 Kolumna: 5 Pozycja: 15
Kontener{masa=8586, producent='Matson', towar='Banany'} Poziom: 1 Kolumna: 5 Pozycja: 16
Kontener{masa=8586, producent='Maersk', towar='Rozpuszczalnik'} Poziom: 1 Kolumna: 5 Pozycja: 17
Kontener{masa=8585, producent='Evergreen', towar='Ropa'} Poziom: 1 Kolumna: 5 Pozycja: 18
Kontener{masa=8585, producent='Matson', towar='Banany'} Poziom: 1 Kolumna: 5 Pozycja: 19
Kontener{masa=133, producent='Maersk', towar='Sok wiśniowy'} Poziom: 1 Kolumna: 5 Pozycja: 20
Kontener{masa=41, producent='Swire', towar='Telewizor'} Poziom: 1 Kolumna: 5 Pozycja: 21
Kontener{masa=476, producent='CMA CMG', towar='Sok wiśniowy'} Poziom: 1 Kolumna: 5 Pozycja: 22
Kontener{masa=315, producent='Matson', towar='Telefon'} Poziom: 1 Kolumna: 5 Pozycja: 23
Kontener{masa=405, producent='CMA CMG', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 5 Pozycja: 24
Kontener{masa=409, producent='Evergreen', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 5 Pozycja: 25
Kontener{masa=887, producent='CMA CMG', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 5 Pozycja: 26
Kontener{masa=29, producent='Matson', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 5 Pozycja: 27
Kontener{masa=649, producent='Matson', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 5 Pozycja: 28
Kontener{masa=417, producent='Swire', towar='Banany'} Poziom: 1 Kolumna: 5 Pozycja: 29
Kontener{masa=117, producent='COSCO', towar='Komputer'} Poziom: 1 Kolumna: 6 Pozycja: 0
Kontener{masa=2969, producent='COSCO', towar='Farba'} Poziom: 1 Kolumna: 6 Pozycja: 1
Kontener{masa=792, producent='Evergreen', towar='Telefon'} Poziom: 1 Kolumna: 6 Pozycja: 2
Kontener{masa=48, producent='COSCO', towar='Telefon'} Poziom: 1 Kolumna: 6 Pozycja: 3
Kontener{masa=826, producent='Maersk', towar='Telewizor'} Poziom: 1 Kolumna: 6 Pozycja: 4
Kontener{masa=413, producent='Maersk', towar='Telewizor'} Poziom: 1 Kolumna: 6 Pozycja: 5
Kontener{masa=975, producent='Maersk', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 6 Pozycja: 6
Kontener{masa=884, producent='COSCO', towar='Telewizor'} Poziom: 1 Kolumna: 6 Pozycja: 7
Kontener{masa=580, producent='Swire', towar='Procesor'} Poziom: 1 Kolumna: 6 Pozycja: 8
Kontener{masa=648, producent='Swire', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 6 Pozycja: 9
Kontener{masa=8584, producent='Matson', towar='Farba'} Poziom: 1 Kolumna: 6 Pozycja: 10
Kontener{masa=8584, producent='Evergreen', towar='Banany'} Poziom: 1 Kolumna: 6 Pozycja: 11
Kontener{masa=8583, producent='Evergreen', towar='Ropa'} Poziom: 1 Kolumna: 6 Pozycja: 12
Kontener{masa=8583, producent='Swire', towar='Farba'} Poziom: 1 Kolumna: 6 Pozycja: 13
Kontener{masa=8583, producent='Maersk', towar='Banany'} Poziom: 1 Kolumna: 6 Pozycja: 14
Kontener{masa=8581, producent='CMA CMG', towar='Ropa'} Poziom: 1 Kolumna: 6 Pozycja: 15
Kontener{masa=8578, producent='CMA CMG', towar='Banany'} Poziom: 1 Kolumna: 6 Pozycja: 16
Kontener{masa=8578, producent='Matson', towar='Banany'} Poziom: 1 Kolumna: 6 Pozycja: 17
Kontener{masa=8576, producent='Matson', towar='Rozpuszczalnik'} Poziom: 1 Kolumna: 6 Pozycja: 18
Kontener{masa=8576, producent='COSCO', towar='Farba'} Poziom: 1 Kolumna: 6 Pozycja: 19
Kontener{masa=1890, producent='Matson', towar='Kwas'} Poziom: 1 Kolumna: 6 Pozycja: 20
Kontener{masa=3051, producent='Evergreen', towar='Banany'} Poziom: 1 Kolumna: 6 Pozycja: 21
Kontener{masa=748, producent='CMA CMG', towar='Telewizor'} Poziom: 1 Kolumna: 6 Pozycja: 22
Kontener{masa=18, producent='Swire', towar='Komputer'} Poziom: 1 Kolumna: 6 Pozycja: 23
Kontener{masa=828, producent='COSCO', towar='Sok wiśniowy'} Poziom: 1 Kolumna: 6 Pozycja: 24
Kontener{masa=536, producent='Matson', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 6 Pozycja: 25
Kontener{masa=838, producent='Matson', towar='Sok wiśniowy'} Poziom: 1 Kolumna: 6 Pozycja: 26
Kontener{masa=443, producent='Evergreen', towar='Komputer'} Poziom: 1 Kolumna: 6 Pozycja: 27
Kontener{masa=514, producent='Evergreen', towar='Telewizor'} Poziom: 1 Kolumna: 6 Pozycja: 28
Kontener{masa=881, producent='CMA CMG', towar='Sok pomarańczowy'} Poziom: 1 Kolumna: 6 Pozycja: 29
Kontener{masa=682, producent='Maersk', towar='Sok wiśniowy'} Poziom: 1 Kolumna: 7 Pozycja: 0
Kontener{masa=410, producent='Matson', towar='Komputer'} Poziom: 1 Kolumna: 7 Pozycja: 1
Kontener{masa=1641, producent='Maersk', towar='Banany'} Poziom: 1 Kolumna: 7 Pozycja: 2
Kontener{masa=243, producent='Matson', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 7 Pozycja: 3
Kontener{masa=811, producent='Maersk', towar='Komputer'} Poziom: 1 Kolumna: 7 Pozycja: 4
Kontener{masa=1856, producent='COSCO', towar='Banany'} Poziom: 1 Kolumna: 7 Pozycja: 5
Kontener{masa=630, producent='CMA CMG', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 7 Pozycja: 6
Kontener{masa=980, producent='Matson', towar='Sok wiśniowy'} Poziom: 1 Kolumna: 7 Pozycja: 7
Kontener{masa=283, producent='CMA CMG', towar='Telefon'} Poziom: 1 Kolumna: 7 Pozycja: 8
Kontener{masa=758, producent='Maersk', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 7 Pozycja: 9
Kontener{masa=8575, producent='COSCO', towar='Banany'} Poziom: 1 Kolumna: 7 Pozycja: 10
Kontener{masa=8574, producent='Swire', towar='Banany'} Poziom: 1 Kolumna: 7 Pozycja: 11
Kontener{masa=8573, producent='Swire', towar='Farba'} Poziom: 1 Kolumna: 7 Pozycja: 12
Kontener{masa=8573, producent='COSCO', towar='Kwas'} Poziom: 1 Kolumna: 7 Pozycja: 13
Kontener{masa=8572, producent='Matson', towar='Farba'} Poziom: 1 Kolumna: 7 Pozycja: 14
Kontener{masa=8570, producent='Maersk', towar='Banany'} Poziom: 1 Kolumna: 7 Pozycja: 15
Kontener{masa=8569, producent='Maersk', towar='Kwas'} Poziom: 1 Kolumna: 7 Pozycja: 16
Kontener{masa=8568, producent='CMA CMG', towar='Rozpuszczalnik'} Poziom: 1 Kolumna: 7 Pozycja: 17
Kontener{masa=8568, producent='COSCO', towar='Banany'} Poziom: 1 Kolumna: 7 Pozycja: 18
Kontener{masa=8567, producent='Swire', towar='Banany'} Poziom: 1 Kolumna: 7 Pozycja: 19
Kontener{masa=977, producent='Matson', towar='Telefon'} Poziom: 1 Kolumna: 7 Pozycja: 20
Kontener{masa=672, producent='Matson', towar='Procesor'} Poziom: 1 Kolumna: 7 Pozycja: 21
Kontener{masa=277, producent='Swire', towar='Komputer'} Poziom: 1 Kolumna: 7 Pozycja: 22
Kontener{masa=897, producent='Maersk', towar='Banany'} Poziom: 1 Kolumna: 7 Pozycja: 23
Kontener{masa=3029, producent='Swire', towar='Farba'} Poziom: 1 Kolumna: 7 Pozycja: 24
Kontener{masa=113, producent='Swire', towar='Telefon'} Poziom: 1 Kolumna: 7 Pozycja: 25
Kontener{masa=179, producent='Swire', towar='Banany'} Poziom: 1 Kolumna: 7 Pozycja: 26
Kontener{masa=418, producent='COSCO', towar='Telewizor'} Poziom: 1 Kolumna: 7 Pozycja: 27
Kontener{masa=273, producent='Matson', towar='Kwas'} Poziom: 1 Kolumna: 7 Pozycja: 28
Kontener{masa=186, producent='Matson', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 7 Pozycja: 29
Kontener{masa=160, producent='Swire', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 8 Pozycja: 0
Kontener{masa=83, producent='Swire', towar='Telewizor'} Poziom: 1 Kolumna: 8 Pozycja: 1
Kontener{masa=132, producent='Swire', towar='Komputer'} Poziom: 1 Kolumna: 8 Pozycja: 2
Kontener{masa=59, producent='COSCO', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 8 Pozycja: 3
Kontener{masa=754, producent='Evergreen', towar='Telewizor'} Poziom: 1 Kolumna: 8 Pozycja: 4
Kontener{masa=944, producent='COSCO', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 8 Pozycja: 5
Kontener{masa=787, producent='Swire', towar='Sok pomarańczowy'} Poziom: 1 Kolumna: 8 Pozycja: 6
Kontener{masa=755, producent='Maersk', towar='Banany'} Poziom: 1 Kolumna: 8 Pozycja: 7
Kontener{masa=969, producent='Swire', towar='Banany'} Poziom: 1 Kolumna: 8 Pozycja: 8
Kontener{masa=616, producent='CMA CMG', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 8 Pozycja: 9
Kontener{masa=8566, producent='CMA CMG', towar='Ropa'} Poziom: 1 Kolumna: 8 Pozycja: 10
Kontener{masa=8566, producent='Maersk', towar='Banany'} Poziom: 1 Kolumna: 8 Pozycja: 11
Kontener{masa=8565, producent='Maersk', towar='Farba'} Poziom: 1 Kolumna: 8 Pozycja: 12
Kontener{masa=8562, producent='CMA CMG', towar='Banany'} Poziom: 1 Kolumna: 8 Pozycja: 13
Kontener{masa=8561, producent='Maersk', towar='Kwas'} Poziom: 1 Kolumna: 8 Pozycja: 14
Kontener{masa=8560, producent='CMA CMG', towar='Ropa'} Poziom: 1 Kolumna: 8 Pozycja: 15
Kontener{masa=8559, producent='CMA CMG', towar='Banany'} Poziom: 1 Kolumna: 8 Pozycja: 16
Kontener{masa=8553, producent='COSCO', towar='Farba'} Poziom: 1 Kolumna: 8 Pozycja: 17
Kontener{masa=8552, producent='Matson', towar='Banany'} Poziom: 1 Kolumna: 8 Pozycja: 18
Kontener{masa=8551, producent='Maersk', towar='Banany'} Poziom: 1 Kolumna: 8 Pozycja: 19
Kontener{masa=113, producent='CMA CMG', towar='Sok wiśniowy'} Poziom: 1 Kolumna: 8 Pozycja: 20
Kontener{masa=380, producent='Evergreen', towar='Telefon'} Poziom: 1 Kolumna: 8 Pozycja: 21
Kontener{masa=905, producent='Swire', towar='Telefon'} Poziom: 1 Kolumna: 8 Pozycja: 22
Kontener{masa=728, producent='Swire', towar='Sok wiśniowy'} Poziom: 1 Kolumna: 8 Pozycja: 23
Kontener{masa=507, producent='COSCO', towar='Banany'} Poziom: 1 Kolumna: 8 Pozycja: 24
Kontener{masa=814, producent='COSCO', towar='Komputer'} Poziom: 1 Kolumna: 8 Pozycja: 25
Kontener{masa=437, producent='Swire', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 8 Pozycja: 26
Kontener{masa=910, producent='CMA CMG', towar='Sok pomarańczowy'} Poziom: 1 Kolumna: 8 Pozycja: 27
Kontener{masa=2410, producent='Matson', towar='Banany'} Poziom: 1 Kolumna: 8 Pozycja: 28
Kontener{masa=168, producent='Maersk', towar='Telewizor'} Poziom: 1 Kolumna: 8 Pozycja: 29
Kontener{masa=3143, producent='Swire', towar='Banany'} Poziom: 1 Kolumna: 9 Pozycja: 0
Kontener{masa=768, producent='Swire', towar='Sok pomarańczowy'} Poziom: 1 Kolumna: 9 Pozycja: 1
Kontener{masa=144, producent='Evergreen', towar='Telefon'} Poziom: 1 Kolumna: 9 Pozycja: 2
Kontener{masa=798, producent='Swire', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 9 Pozycja: 3
Kontener{masa=208, producent='Evergreen', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 9 Pozycja: 4
Kontener{masa=837, producent='Evergreen', towar='Telefon'} Poziom: 1 Kolumna: 9 Pozycja: 5
Kontener{masa=698, producent='CMA CMG', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 9 Pozycja: 6
Kontener{masa=990, producent='COSCO', towar='Banany'} Poziom: 1 Kolumna: 9 Pozycja: 7
Kontener{masa=460, producent='CMA CMG', towar='Telefon'} Poziom: 1 Kolumna: 9 Pozycja: 8
Kontener{masa=118, producent='CMA CMG', towar='Ropa'} Poziom: 1 Kolumna: 9 Pozycja: 9
Kontener{masa=8551, producent='COSCO', towar='Kwas'} Poziom: 1 Kolumna: 9 Pozycja: 10
Kontener{masa=8547, producent='COSCO', towar='Banany'} Poziom: 1 Kolumna: 9 Pozycja: 11
Kontener{masa=8543, producent='Evergreen', towar='Kwas'} Poziom: 1 Kolumna: 9 Pozycja: 12
Kontener{masa=8543, producent='CMA CMG', towar='Farba'} Poziom: 1 Kolumna: 9 Pozycja: 13
Kontener{masa=8542, producent='CMA CMG', towar='Rozpuszczalnik'} Poziom: 1 Kolumna: 9 Pozycja: 14
Kontener{masa=8540, producent='Evergreen', towar='Rozpuszczalnik'} Poziom: 1 Kolumna: 9 Pozycja: 15
Kontener{masa=8539, producent='Swire', towar='Rozpuszczalnik'} Poziom: 1 Kolumna: 9 Pozycja: 16
Kontener{masa=8539, producent='Evergreen', towar='Banany'} Poziom: 1 Kolumna: 9 Pozycja: 17
Kontener{masa=8538, producent='Evergreen', towar='Rozpuszczalnik'} Poziom: 1 Kolumna: 9 Pozycja: 18
Kontener{masa=8536, producent='Matson', towar='Banany'} Poziom: 1 Kolumna: 9 Pozycja: 19
Kontener{masa=2559, producent='Maersk', towar='Banany'} Poziom: 1 Kolumna: 9 Pozycja: 20
Kontener{masa=919, producent='Maersk', towar='Kwas'} Poziom: 1 Kolumna: 9 Pozycja: 21
Kontener{masa=1307, producent='COSCO', towar='Ropa'} Poziom: 1 Kolumna: 9 Pozycja: 22
Kontener{masa=213, producent='Swire', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 9 Pozycja: 23
Kontener{masa=717, producent='CMA CMG', towar='Farba'} Poziom: 1 Kolumna: 9 Pozycja: 24
Kontener{masa=138, producent='COSCO', towar='Sok wiśniowy'} Poziom: 1 Kolumna: 9 Pozycja: 25
Kontener{masa=3108, producent='CMA CMG', towar='Banany'} Poziom: 1 Kolumna: 9 Pozycja: 26
Kontener{masa=505, producent='Matson', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 9 Pozycja: 27
Kontener{masa=979, producent='Matson', towar='Sok wiśniowy'} Poziom: 1 Kolumna: 9 Pozycja: 28
Kontener{masa=573, producent='Maersk', towar='Procesor'} Poziom: 1 Kolumna: 9 Pozycja: 29
Kontener{masa=70, producent='Swire', towar='Komputer'} Poziom: 1 Kolumna: 10 Pozycja: 0
Kontener{masa=2568, producent='Matson', towar='Banany'} Poziom: 1 Kolumna: 10 Pozycja: 1
Kontener{masa=1165, producent='COSCO', towar='Banany'} Poziom: 1 Kolumna: 10 Pozycja: 2
Kontener{masa=225, producent='Maersk', towar='Rozpuszczalnik'} Poziom: 1 Kolumna: 10 Pozycja: 3
Kontener{masa=387, producent='CMA CMG', towar='Banany'} Poziom: 1 Kolumna: 10 Pozycja: 4
Kontener{masa=627, producent='COSCO', towar='Sok wiśniowy'} Poziom: 1 Kolumna: 10 Pozycja: 5
Kontener{masa=182, producent='COSCO', towar='Sok wiśniowy'} Poziom: 1 Kolumna: 10 Pozycja: 6
Kontener{masa=410, producent='CMA CMG', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 10 Pozycja: 7
Kontener{masa=892, producent='CMA CMG', towar='Farba'} Poziom: 1 Kolumna: 10 Pozycja: 8
Kontener{masa=32, producent='Maersk', towar='Ropa'} Poziom: 1 Kolumna: 10 Pozycja: 9
Kontener{masa=8536, producent='Swire', towar='Banany'} Poziom: 1 Kolumna: 10 Pozycja: 10
Kontener{masa=8534, producent='Maersk', towar='Banany'} Poziom: 1 Kolumna: 10 Pozycja: 11
Kontener{masa=8532, producent='CMA CMG', towar='Banany'} Poziom: 1 Kolumna: 10 Pozycja: 12
Kontener{masa=8529, producent='Evergreen', towar='Farba'} Poziom: 1 Kolumna: 10 Pozycja: 13
Kontener{masa=8528, producent='Evergreen', towar='Farba'} Poziom: 1 Kolumna: 10 Pozycja: 14
Kontener{masa=8527, producent='Swire', towar='Banany'} Poziom: 1 Kolumna: 10 Pozycja: 15
Kontener{masa=8525, producent='Maersk', towar='Banany'} Poziom: 1 Kolumna: 10 Pozycja: 16
Kontener{masa=8523, producent='Swire', towar='Kwas'} Poziom: 1 Kolumna: 10 Pozycja: 17
Kontener{masa=8521, producent='Evergreen', towar='Banany'} Poziom: 1 Kolumna: 10 Pozycja: 18
Kontener{masa=8520, producent='COSCO', towar='Rozpuszczalnik'} Poziom: 1 Kolumna: 10 Pozycja: 19
Kontener{masa=443, producent='CMA CMG', towar='Rozpuszczalnik'} Poziom: 1 Kolumna: 10 Pozycja: 20
Kontener{masa=878, producent='Swire', towar='Procesor'} Poziom: 1 Kolumna: 10 Pozycja: 21
Kontener{masa=409, producent='COSCO', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 10 Pozycja: 22
Kontener{masa=860, producent='Swire', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 10 Pozycja: 23
Kontener{masa=219, producent='Maersk', towar='Telefon'} Poziom: 1 Kolumna: 10 Pozycja: 24
Kontener{masa=741, producent='Matson', towar='Banany'} Poziom: 1 Kolumna: 10 Pozycja: 25
Kontener{masa=494, producent='Matson', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 10 Pozycja: 26
Kontener{masa=711, producent='Maersk', towar='Procesor'} Poziom: 1 Kolumna: 10 Pozycja: 27
Kontener{masa=644, producent='Matson', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 10 Pozycja: 28
Kontener{masa=740, producent='Swire', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 10 Pozycja: 29
Kontener{masa=820, producent='Maersk', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 11 Pozycja: 0
Kontener{masa=306, producent='Matson', towar='Sok wiśniowy'} Poziom: 1 Kolumna: 11 Pozycja: 1
Kontener{masa=338, producent='Maersk', towar='Sok pomarańczowy'} Poziom: 1 Kolumna: 11 Pozycja: 2
Kontener{masa=32, producent='COSCO', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 11 Pozycja: 3
Kontener{masa=979, producent='CMA CMG', towar='Sok pomarańczowy'} Poziom: 1 Kolumna: 11 Pozycja: 4
Kontener{masa=2501, producent='Evergreen', towar='Banany'} Poziom: 1 Kolumna: 11 Pozycja: 5
Kontener{masa=606, producent='Matson', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 11 Pozycja: 6
Kontener{masa=774, producent='Matson', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 11 Pozycja: 7
Kontener{masa=184, producent='Matson', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 11 Pozycja: 8
Kontener{masa=171, producent='Evergreen', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 11 Pozycja: 9
Kontener{masa=8520, producent='CMA CMG', towar='Banany'} Poziom: 1 Kolumna: 11 Pozycja: 10
Kontener{masa=8518, producent='Matson', towar='Banany'} Poziom: 1 Kolumna: 11 Pozycja: 11
Kontener{masa=8518, producent='Evergreen', towar='Kwas'} Poziom: 1 Kolumna: 11 Pozycja: 12
Kontener{masa=8516, producent='Evergreen', towar='Banany'} Poziom: 1 Kolumna: 11 Pozycja: 13
Kontener{masa=8514, producent='Evergreen', towar='Rozpuszczalnik'} Poziom: 1 Kolumna: 11 Pozycja: 14
Kontener{masa=8513, producent='CMA CMG', towar='Kwas'} Poziom: 1 Kolumna: 11 Pozycja: 15
Kontener{masa=8512, producent='COSCO', towar='Kwas'} Poziom: 1 Kolumna: 11 Pozycja: 16
Kontener{masa=8512, producent='Matson', towar='Rozpuszczalnik'} Poziom: 1 Kolumna: 11 Pozycja: 17
Kontener{masa=8511, producent='Matson', towar='Banany'} Poziom: 1 Kolumna: 11 Pozycja: 18
Kontener{masa=8509, producent='COSCO', towar='Kwas'} Poziom: 1 Kolumna: 11 Pozycja: 19
Kontener{masa=2329, producent='COSCO', towar='Farba'} Poziom: 1 Kolumna: 11 Pozycja: 20
Kontener{masa=2478, producent='Evergreen', towar='Kwas'} Poziom: 1 Kolumna: 11 Pozycja: 21
Kontener{masa=231, producent='Swire', towar='Banany'} Poziom: 1 Kolumna: 11 Pozycja: 22
Kontener{masa=217, producent='Swire', towar='Telefon'} Poziom: 1 Kolumna: 11 Pozycja: 23
Kontener{masa=68, producent='CMA CMG', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 11 Pozycja: 24
Kontener{masa=260, producent='Maersk', towar='Komputer'} Poziom: 1 Kolumna: 11 Pozycja: 25
Kontener{masa=574, producent='Matson', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 11 Pozycja: 26
Kontener{masa=470, producent='Swire', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 11 Pozycja: 27
Kontener{masa=290, producent='Matson', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 11 Pozycja: 28
Kontener{masa=885, producent='Matson', towar='Kwas'} Poziom: 1 Kolumna: 11 Pozycja: 29
Kontener{masa=2988, producent='Maersk', towar='Ropa'} Poziom: 1 Kolumna: 12 Pozycja: 0
Kontener{masa=339, producent='Maersk', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 12 Pozycja: 1
Kontener{masa=28, producent='Evergreen', towar='Sok wiśniowy'} Poziom: 1 Kolumna: 12 Pozycja: 2
Kontener{masa=399, producent='Matson', towar='Telefon'} Poziom: 1 Kolumna: 12 Pozycja: 3
Kontener{masa=343, producent='Maersk', towar='Sok pomarańczowy'} Poziom: 1 Kolumna: 12 Pozycja: 4
Kontener{masa=202, producent='CMA CMG', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 12 Pozycja: 5
Kontener{masa=2959, producent='Matson', towar='Banany'} Poziom: 1 Kolumna: 12 Pozycja: 6
Kontener{masa=3222, producent='CMA CMG', towar='Banany'} Poziom: 1 Kolumna: 12 Pozycja: 7
Kontener{masa=543, producent='Matson', towar='Sok wiśniowy'} Poziom: 1 Kolumna: 12 Pozycja: 8
Kontener{masa=994, producent='Swire', towar='Telewizor'} Poziom: 1 Kolumna: 12 Pozycja: 9
Kontener{masa=8508, producent='Swire', towar='Rozpuszczalnik'} Poziom: 1 Kolumna: 12 Pozycja: 10
Kontener{masa=8508, producent='COSCO', towar='Banany'} Poziom: 1 Kolumna: 12 Pozycja: 11
Kontener{masa=8508, producent='COSCO', towar='Kwas'} Poziom: 1 Kolumna: 12 Pozycja: 12
Kontener{masa=8504, producent='COSCO', towar='Kwas'} Poziom: 1 Kolumna: 12 Pozycja: 13
Kontener{masa=8501, producent='Evergreen', towar='Kwas'} Poziom: 1 Kolumna: 12 Pozycja: 14
Kontener{masa=8500, producent='COSCO', towar='Banany'} Poziom: 1 Kolumna: 12 Pozycja: 15
Kontener{masa=8497, producent='Swire', towar='Ropa'} Poziom: 1 Kolumna: 12 Pozycja: 16
Kontener{masa=8494, producent='Matson', towar='Banany'} Poziom: 1 Kolumna: 12 Pozycja: 17
Kontener{masa=8493, producent='Evergreen', towar='Banany'} Poziom: 1 Kolumna: 12 Pozycja: 18
Kontener{masa=8493, producent='COSCO', towar='Kwas'} Poziom: 1 Kolumna: 12 Pozycja: 19
Kontener{masa=797, producent='Evergreen', towar='Telefon'} Poziom: 1 Kolumna: 12 Pozycja: 20
Kontener{masa=2846, producent='Evergreen', towar='Banany'} Poziom: 1 Kolumna: 12 Pozycja: 21
Kontener{masa=530, producent='COSCO', towar='Sok pomarańczowy'} Poziom: 1 Kolumna: 12 Pozycja: 22
Kontener{masa=259, producent='Matson', towar='Telewizor'} Poziom: 1 Kolumna: 12 Pozycja: 23
Kontener{masa=694, producent='Maersk', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 12 Pozycja: 24
Kontener{masa=3089, producent='CMA CMG', towar='Banany'} Poziom: 1 Kolumna: 12 Pozycja: 25
Kontener{masa=560, producent='CMA CMG', towar='Telewizor'} Poziom: 1 Kolumna: 12 Pozycja: 26
Kontener{masa=689, producent='CMA CMG', towar='Komputer'} Poziom: 1 Kolumna: 12 Pozycja: 27
Kontener{masa=2103, producent='Matson', towar='Rozpuszczalnik'} Poziom: 1 Kolumna: 12 Pozycja: 28
Kontener{masa=942, producent='Swire', towar='Sok porzeczkowy'} Poziom: 1 Kolumna: 12 Pozycja: 29
Kontener{masa=774, producent='Maersk', towar='Telewizor'} Poziom: 1 Kolumna: 13 Pozycja: 0
Kontener{masa=7, producent='COSCO', towar='Sok pomarańczowy'} Poziom: 1 Kolumna: 13 Pozycja: 1
Kontener{masa=180, producent='COSCO', towar='Telefon'} Poziom: 1 Kolumna: 13 Pozycja: 2
Kontener{masa=639, producent='COSCO', towar='Sok pomarańczowy'} Poziom: 1 Kolumna: 13 Pozycja: 3
Kontener{masa=690, producent='Matson', towar='Ropa'} Poziom: 1 Kolumna: 13 Pozycja: 4
Kontener{masa=430, producent='Matson', towar='Sok jabłkowy'} Poziom: 1 Kolumna: 13 Pozycja: 5
Kontener{masa=410, producent='COSCO', towar='Telefon'} Poziom: 1 Kolumna: 13 Pozycja: 6
Kontener{masa=934, producent='CMA CMG', towar='Telewizor'} Poziom: 1 Kolumna: 13 Pozycja: 7
